_id,image,brand,name,price,powerSupplyStandard,maxMotherboardSize,type,sidePanelWindow
608dd450905ec60bdc070007,/images/case/case.jpg,Corsair,Crystal 570X RGB Mirror Black,880.83,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070008,/images/case/case.jpg,Corsair,Crystal 680X RGB,1035.08,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070009,/images/case/case.jpg,Corsair,iCUE 220T RGB,497.32,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070010,/images/case/case.jpg,Corsair,iCUE 220T RGB Airflow,451.82,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070011,/images/case/case.jpg,Corsair,iCUE 4000X RGB,528.62,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070012,/images/case/case.jpg,Corsair,iCUE 465X RGB,578.76,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070013,/images/case/case.jpg,Corsair,iCUE 5000X RGB,857.68,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070014,/images/case/case.jpg,Corsair,Obsidian 500D RGB SE,1187.50,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070015,/images/case/case.jpg,Corsair,SPEC OMEGA,536.45,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070016,/images/case/case.jpg,Corsair,SPEC-01,238.51,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070017,/images/case/case.jpg,Corsair,SPEC-03,791.11,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070018,/images/case/case.jpg,Corsair,SPEC-04,349.85,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070019,/images/case/case.jpg,Corsair,SPEC-05,263.45,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070020,/images/case/case.jpg,Corsair,SPEC-06,1134.27,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070021,/images/case/case.jpg,Corsair,SPEC-ALPHA,508.33,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070022,/images/case/case.jpg,Corsair,SPEC-DELTA RGB,317.59,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070023,/images/case/case.jpg,Corsair,SPEC-OMEGA RGB,725.22,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070024,/images/case/case.jpg,Fractal Design,Core 2300,241.33,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc070025,/images/case/case.jpg,Fractal Design,Core 2500,290.70,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc070026,/images/case/case.jpg,Fractal Design,Define 7,757.07,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070027,/images/case/case.jpg,Fractal Design,Define 7 Compact,488.62,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc070028,/images/case/case.jpg,Fractal Design,Define 7 Dark,761.62,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070029,/images/case/case.jpg,Fractal Design,Define 7 Light,737.15,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070030,/images/case/case.jpg,Fractal Design,Define C,402.17,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc070031,/images/case/case.jpg,Fractal Design,Define C TG,447.58,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070032,/images/case/case.jpg,Fractal Design,Define R5,500.05,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc070033,/images/case/case.jpg,Fractal Design,Define R6,678.22,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070034,/images/case/case.jpg,Fractal Design,Define R6 USB-C,735.33,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070035,/images/case/case.jpg,Fractal Design,Define R6 USB-C Blackout,727.77,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070036,/images/case/case.jpg,Fractal Design,Define S,427.65,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070037,/images/case/case.jpg,Fractal Design,Define S2,700.25,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070038,/images/case/case.jpg,Fractal Design,Define S2 Blackout,695.60,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070039,/images/case/case.jpg,Fractal Design,Define S2 Vision Blackout,920.69,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070040,/images/case/case.jpg,Fractal Design,Define S2 Vision RGB,1011.19,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070041,/images/case/case.jpg,Fractal Design,Focus G,271.04,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070042,/images/case/case.jpg,Fractal Design,Meshify 2,690.74,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070043,/images/case/case.jpg,Fractal Design,Meshify 2 Compact,443.12,ATX,ATX,ATX Mid Tower,None
608dd450905ec60bdc070044,/images/case/case.jpg,Fractal Design,Meshify 2 Compact TG Dark Tint,386.30,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070045,/images/case/case.jpg,Fractal Design,Meshify 2 Compact TG Light Tint,476.02,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070046,/images/case/case.jpg,Fractal Design,Meshify 2 Compact White TG Clear Tint,732.73,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070047,/images/case/case.jpg,Fractal Design,Meshify C,472.79,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070048,/images/case/case.jpg,Fractal Design,Meshify S2,613.80,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070049,/images/case/case.jpg,Fractal Design,Vector RS,800.35,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070050,/images/case/case.jpg,Fractal Design,Vector RS Blackout,890.75,ATX,ATX,ATX Mid Tower,Tinted Tempered Glass
608dd450905ec60bdc070051,/images/case/case.jpg,Lian Li,ALPHA 550X,1282.14,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070052,/images/case/case.jpg,Lian Li,LANCOOL 215,413.55,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070053,/images/case/case.jpg,Lian Li,Lancool II Mesh,527.30,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070054,/images/case/case.jpg,Lian Li,LANCOOL II-X,481.80,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070055,/images/case/case.jpg,Lian Li,LANCOOL ONE,678.45,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070056,/images/case/case.jpg,Lian Li,LANCOOL ONE Digital,647.06,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070057,/images/case/case.jpg,Lian Li,O11 Dynamic Mini,527.30,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070058,/images/case/case.jpg,Lian Li,PC-O10,1118.80,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070059,/images/case/case.jpg,Lian Li,PC-O8X,2100.83,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070060,/images/case/case.jpg,Lian Li,PC-X510,2296.39,ATX,ATX,ATX Mid Tower,Acrylic
608dd450905ec60bdc070061,/images/case/case.jpg,NZXT,H510,356.63,ATX,ATX,ATX Mid Tower,Tempered Glass
608dd450905ec60bdc070062,/images/case/case.jpg,NZXT,H510 Elite,677.95,ATX,ATX,ATX Mid Tower,Tempered Glass
