_id,image,brand,name,price,socket,cores,smt,igpu,tdp,stPerformance,mtPerformance,coreClock,boostClock
608dd3c5905ec60bdc069828,/images/cpu/amd-ryzen-7-3000.jpg,AMD,Ryzen 7 3800XT,1660.70,AM4,8,TRUE,FALSE,105,1345,9006,3.9,4.7
608dd3c5905ec60bdc069829,/images/cpu/amd-ryzen-7-5000.jpg,AMD,Ryzen 7 5800X,1933.75,AM4,8,TRUE,FALSE,105,1677,10452,3.8,4.7
608dd3c5905ec60bdc069830,/images/cpu/amd-ryzen-9-3000.jpg,AMD,Ryzen 9 3900X,1974.70,AM4,12,TRUE,FALSE,105,1282,11819,3.8,4.6
608dd3c5905ec60bdc069831,/images/cpu/amd-ryzen-9-3000.jpg,AMD,Ryzen 9 3900XT,2461.10,AM4,12,TRUE,FALSE,105,1322,12000,3.8,4.7
608dd3c5905ec60bdc069832,/images/cpu/amd-ryzen-9-3000.jpg,AMD,Ryzen 9 3950X,3348.98,AM4,16,TRUE,FALSE,105,1300,14198,3.5,4.7
608dd3c5905ec60bdc069833,/images/cpu/amd-ryzen-9-5000.jpg,AMD,Ryzen 9 5900X,3175.85,AM4,12,TRUE,FALSE,105,1674,14253,3.7,4.8
608dd3c5905ec60bdc069834,/images/cpu/amd-ryzen-9-5000.jpg,AMD,Ryzen 9 5950X,4076.75,AM4,16,TRUE,FALSE,105,1700,17012,3.4,4.9
608dd3c5905ec60bdc069835,/images/cpu/amd-threadripper-3000.jpg,AMD,Threadripper 3960X,6420.28,sTRX4,24,TRUE,FALSE,280,1274,19928,3.8,4.5
608dd3c5905ec60bdc069836,/images/cpu/amd-threadripper-3000.jpg,AMD,Threadripper 3970X,9757.57,sTRX4,32,TRUE,FALSE,280,1261,22397,3.7,4.5
608dd3c5905ec60bdc069837,/images/cpu/amd-threadripper-3000.jpg,AMD,Threadripper 3990X,19136.80,sTRX4,64,TRUE,FALSE,280,1207,24916,2.9,4.3
608dd3c5905ec60bdc069838,/images/cpu/intel-celeron-g5.jpg,Intel,Celeron G5900,251.11,LGA1200,2,FALSE,TRUE,58,824,1577,3.4,3.4
608dd3c5905ec60bdc069839,/images/cpu/intel-celeron-g5.jpg,Intel,Celeron G5920,256.53,LGA1200,2,FALSE,TRUE,58,850,1717,3.5,3.5
608dd3c5905ec60bdc069840,/images/cpu/intel-core-i3-10.jpg,Intel,Core i3-10100,662.98,LGA1200,4,TRUE,TRUE,65,1101,4052,3.6,4.3
608dd3c5905ec60bdc069841,/images/cpu/intel-core-i3-10.jpg,Intel,Core i3-10100F,520.61,LGA1200,4,TRUE,FALSE,65,1098,4053,3.6,4.3
608dd3c5905ec60bdc069842,/images/cpu/intel-core-i3-10.jpg,Intel,Core i3-10300,677.68,LGA1200,4,TRUE,TRUE,65,1184,4671,3.7,4.4
608dd3c5905ec60bdc069843,/images/cpu/intel-core-i3-10.jpg,Intel,Core i3-10320,668.35,LGA1200,4,TRUE,TRUE,65,1235,4728,3.8,4.6
608dd3c5905ec60bdc069844,/images/cpu/intel-core-i3-9.jpg,Intel,Core i3-9100,823.55,LGA1151,4,FALSE,TRUE,65,1065,3322,3.6,4.2
608dd3c5905ec60bdc069845,/images/cpu/intel-core-i3-9.jpg,Intel,Core i3-9100F,537.63,LGA1151,4,FALSE,FALSE,65,1033,3172,3.6,4.2
608dd3c5905ec60bdc069846,/images/cpu/intel-core-i3-9.jpg,Intel,Core i3-9350K,1116.30,LGA1151,4,FALSE,TRUE,91,1259,4152,4,4.6
