_id,image,brand,name,price,capacityGb,tier,type,formFactor,connectionInterface
608dd615905ec60bdc06a510,/images/storage/51KnQwRZCXL.jpg,Seagate,Barracuda XT,828.10,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a511,/images/storage/41%2Bi9Dxj2YL.jpg,Seagate,Constellation CS,768.95,1000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a512,/images/storage/41%2Bi9Dxj2YL.jpg,Seagate,Constellation CS,1278.55,3000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a513,/images/storage/41%2Bi9Dxj2YL.jpg,Seagate,Constellation CS,1360.45,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a514,/images/storage/5162SxVdtBL.jpg,Seagate,Constellation CS ISE,1178.45,1000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a515,/images/storage/41dhZHFpbuL.jpg,Seagate,Constellation ES,444.26,1000,8,7200RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a516,/images/storage/41dhZHFpbuL.jpg,Seagate,Constellation ES,859.95,2000,8,7200RPM,"3.5""",SATA 3 Gb/s
608dd615905ec60bdc06a517,/images/storage/31RIr%2BzbvjL.jpg,Seagate,Constellation ES.2,363.55,3000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a518,/images/storage/31RIr%2BzbvjL.jpg,Seagate,Constellation ES.2,796.02,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a519,/images/storage/41HuXrU7ZPL.jpg,Seagate,Constellation ES.3,592.36,3000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a520,/images/storage/41HuXrU7ZPL.jpg,Seagate,Constellation ES.3,628.72,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a521,/images/storage/41HuXrU7ZPL.jpg,Seagate,Constellation ES.3,968.24,4000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a522,/images/storage/2195nce6VhL.jpg,Seagate,Constellation.2,382.20,1000,8,7200RPM,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a523,/images/storage/41ojUaIN5FL.jpg,Seagate,Enterprise,1683.45,12000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a524,/images/storage/0fadfdaea140d8a2530ac577ce65cb80.256p.jpg,Seagate,Enterprise Capacity,705.20,3000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a525,/images/storage/0fadfdaea140d8a2530ac577ce65cb80.256p.jpg,Seagate,Enterprise Capacity,782.10,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a526,/images/storage/0fadfdaea140d8a2530ac577ce65cb80.256p.jpg,Seagate,Enterprise Capacity,786.65,1000,8,7200RPM,"2.5""",SATA 6 Gb/s
608dd615905ec60bdc06a527,/images/storage/0fadfdaea140d8a2530ac577ce65cb80.256p.jpg,Seagate,Enterprise Capacity,955.45,4000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a528,/images/storage/0fadfdaea140d8a2530ac577ce65cb80.256p.jpg,Seagate,Enterprise Capacity,1132.31,10000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a529,/images/storage/0fadfdaea140d8a2530ac577ce65cb80.256p.jpg,Seagate,Enterprise Capacity,1160.02,8000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a530,/images/storage/522ae2cd7bd2dc96b8fef35d250af682.256p.jpg,Seagate,Enterprise NAS,1683.27,6000,8,7200RPM,"3.5""",SATA 6 Gb/s
608dd615905ec60bdc06a531,/images/storage/41h2nxtc42L.jpg,Seagate,Exos 7E8,506.82,2000,8,7200RPM,"3.5""",SATA 6 Gb/s
